credit,sex,education,marital_status,age,bill_sep05,bill_aug05,bill_jul05,bill_jun05,bill_may05,bill_apr05,paid_sep05,paid_aug05,paid_jul05,paid_jun05,paid_may05,paid_apr05,default
300000,female,undergraduate,married,40,0,0,2454,217960,0,0,0,2454,218000,0,0,179999,0
410000,female,gradaute,single,30,6972,3188,15106,15313,10959,8341,3188,15106,6000,0,8341,17331,0
70000,female,undergraduate,single,23,0,3999,44446,21436,19987,19939,3999,44446,41,19995,6000,10305,0
180000,male,diploma,married,43,176911,172605,182641,135892,135411,126808,0,15000,0,4500,5000,5000,0
30000,male,undergraduate,single,38,19992,21055,22120,21471,21598,23241,1700,1700,0,782,2000,1100,0
50000,male,gradaute,single,55,11045,3115,7161,5351,791,47774,3115,7161,5351,791,46983,2025,0
70000,female,undergraduate,married,40,69341,19472,22066,23515,10990,0,2000,3000,2000,3000,0,150,0
200000,female,undergraduate,married,29,70422,67991,56909,56841,51245,42268,3500,2472,1683,1755,1658,3579,0
220000,female,gradaute,married,43,4009,1689,12370,12095,1832,4691,1689,12373,12099,1832,5001,10311,1
260000,female,undergraduate,married,45,7893,5923,5601,5480,5911,5963,5923,5601,5482,5911,5963,5757,0
60000,female,gradaute,single,28,20729,14486,12163,8891,1723,40276,3016,1000,0,1723,40276,3000,0
50000,male,undergraduate,single,23,49365,48927,49543,19649,20064,19691,1200,50189,682,710,690,693,0
50000,female,undergraduate,married,39,16983,16413,21128,20492,30079,29460,0,5000,0,10000,0,10000,1
50000,male,undergraduate,single,34,48844,49335,49236,43524,27062,27923,1898,1996,2162,2000,1300,2000,0
120000,female,undergraduate,single,25,0,0,0,0,0,0,0,0,0,0,0,997,1
20000,male,diploma,single,49,19481,18756,-3744,17105,17250,0,0,0,21200,345,0,0,1
360000,male,undergraduate,married,30,2500,2500,2500,2500,0,0,0,0,0,0,0,0,1
440000,female,undergraduate,single,27,25154,27028,29098,21447,13547,16008,10011,5052,3163,5010,5000,5000,0
200000,female,gradaute,single,32,0,0,2090,0,0,2820,0,2090,0,0,2820,10540,0
30000,female,undergraduate,single,23,19594,20619,21631,22062,22707,23312,1346,1358,789,1000,981,1010,0
60000,male,undergraduate,single,24,60753,54892,59268,17967,20309,17867,2800,6100,621,2609,0,756,0
20000,male,diploma,single,25,3556,3271,798,798,798,408,1481,798,798,798,408,1188,0
330000,male,gradaute,married,37,18807,15865,34284,2780,20247,1806,2087,10054,2840,21101,1814,1861,1
360000,male,gradaute,married,49,1050,390,390,750,930,540,390,390,750,930,150,540,1
130000,female,undergraduate,single,32,11175,14181,70042,20739,7469,5963,14181,70505,20749,7469,5997,1978,0
200000,female,gradaute,single,26,5337,2322,7458,1086,25643,35237,2322,7471,1086,25643,35237,7678,0
50000,male,undergraduate,single,40,47060,48117,49161,50173,18279,18266,2154,2588,2600,1000,653,1000,1
260000,female,gradaute,married,35,89420,86716,82868,80715,76377,44627,3578,2400,2000,2000,1464,1188,0
280000,female,gradaute,married,56,-5,4609,1351,1108,1288,3552,4614,1,1109,1290,3561,3279,0
20000,male,undergraduate,single,34,17676,17650,18740,18373,18768,19315,2000,2500,1000,1000,1000,2000,0
50000,male,diploma,married,40,46850,31923,47574,7613,7613,7756,2068,18135,2000,1000,1000,2000,0
30000,male,undergraduate,married,35,8348,9678,12702,12206,12701,13839,1476,3500,0,1000,1500,0,1
140000,female,gradaute,single,29,135436,144922,141289,137377,93261,95368,13102,17,5547,3242,3512,3333,0
200000,female,gradaute,single,39,0,0,0,0,2330,0,0,0,0,2330,0,0,1
160000,male,other,single,33,144,6130,0,0,0,0,6636,0,0,0,0,0,0
240000,female,diploma,married,41,3973,3724,7448,3724,5814,10942,3724,7448,0,5814,8852,0,0
40000,male,undergraduate,single,24,38344,37433,38862,39125,39408,40925,0,2335,1200,1225,2300,1396,1
20000,male,gradaute,single,23,10242,18778,19065,18025,17414,17068,10000,1300,1300,609,700,1809,0
360000,female,gradaute,married,31,0,18540,9007,9500,8675,6573,18540,10000,10000,9000,6600,32810,0
110000,male,gradaute,single,28,107800,105820,104780,98139,72176,74011,4000,4000,4100,3000,3000,3000,0
50000,female,undergraduate,married,41,29463,28715,28950,29684,29078,29944,0,1000,1500,0,1500,2100,0
220000,female,gradaute,single,29,47944,44914,46446,37604,15540,20330,5000,5008,7000,4000,5000,150,0
120000,female,gradaute,single,28,594,594,15611,7628,7361,9200,0,15611,3000,0,2000,0,0
210000,female,gradaute,married,28,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,male,gradaute,married,54,48768,49419,17303,17647,18016,18375,2173,1287,631,653,658,832,0
280000,male,gradaute,married,42,-26,-26,-26,-26,5294,-4,0,0,0,5320,0,919,0
80000,female,undergraduate,married,42,30900,0,0,0,0,0,0,0,0,0,0,0,1
500000,female,gradaute,single,34,80630,80112,81726,74297,66132,67695,3000,3006,2600,3000,2600,2800,0
340000,female,gradaute,single,43,-212,-212,-212,-212,-212,-212,0,0,0,0,0,154,0
500000,male,gradaute,married,45,1366,9489,51322,12150,12463,11872,9543,51322,12176,12463,11872,22547,0
70000,female,undergraduate,married,32,67417,63334,61578,63061,64403,64948,2303,2400,2500,2500,2300,2400,0
300000,female,undergraduate,single,28,603,4728,0,0,0,279,4747,0,0,0,279,423,0
400000,male,gradaute,married,44,18432,24198,22584,22655,23417,16845,6838,2159,1000,3000,1008,1000,0
370000,male,gradaute,single,50,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0
180000,female,undergraduate,married,29,113436,109439,111108,108476,104655,107338,1308,7623,3900,11,7700,0,1
280000,male,undergraduate,married,42,148363,148432,151310,141937,144990,147911,6900,6867,5500,5500,5500,5600,0
360000,female,undergraduate,single,47,3899,6571,7486,24472,5935,4999,7148,8063,25217,6487,5000,0,0
200000,male,gradaute,single,30,1528,4179,1689,1851,34808,-30895,4191,1200,1893,42804,10,85820,0
20000,female,undergraduate,married,32,8217,9910,12146,11954,14750,14371,2000,2400,600,3000,0,600,1
50000,male,undergraduate,single,22,51083,50043,98450,48689,19773,19931,3500,1000,2000,900,900,1000,0
290000,female,gradaute,single,25,11102,9327,22149,23737,13449,17963,9358,22149,20000,3449,7000,11041,0
420000,male,undergraduate,single,31,405274,411980,287733,293951,305011,312087,14302,10500,11000,16000,12000,16000,0
280000,male,gradaute,single,35,210465,200959,146652,132527,70421,60235,10299,7200,5886,3000,5000,5000,0
130000,male,gradaute,single,29,0,0,0,0,0,0,0,0,0,0,0,1500,0
40000,female,gradaute,single,24,28140,32343,39717,37263,35224,34111,5000,8017,7000,4000,5000,5000,1
20000,male,undergraduate,single,22,19666,20076,19875,19659,19310,16286,20700,2000,800,465,1000,0,0
400000,male,gradaute,married,43,-5,-5,5498,3259,5949,1111,0,5503,3262,5966,1111,2420,0
270000,female,gradaute,single,33,68589,58751,53401,51401,36177,29209,6000,2028,5010,5000,5000,3000,0
80000,male,diploma,married,43,0,0,0,0,0,2060,0,0,0,0,2060,0,0
170000,female,undergraduate,single,30,90727,93345,93812,95613,95972,97230,5000,5000,5000,4400,3000,3600,0
70000,female,undergraduate,single,30,3878,4957,6209,6338,6587,6828,1300,1500,380,500,500,800,0
200000,male,diploma,married,44,138877,144085,142520,151078,176717,168431,6437,5000,10000,27080,10017,4200,0
190000,male,undergraduate,single,40,149411,145613,156765,159386,161870,165725,0,15000,6600,6500,6500,7000,1
260000,female,undergraduate,single,28,181121,167875,171913,169495,167944,166881,7013,10051,10026,7039,8057,10213,0
80000,male,undergraduate,married,54,105365,108702,108486,94119,18809,40619,5030,2698,2172,376,40619,25311,1
20000,male,undergraduate,single,40,17068,18283,19424,19208,19600,20000,1800,1600,384,392,400,0,1
240000,female,undergraduate,single,35,227457,232729,223431,226361,223508,238587,9000,10000,8000,9000,19000,9000,0
60000,female,undergraduate,single,24,9970,7699,9479,10213,10000,11832,1020,9479,1000,200,1832,5889,0
320000,male,gradaute,married,40,8240,8240,8240,8240,15273,16106,8240,8240,8240,15273,16106,9690,0
30000,female,diploma,single,35,27873,27326,27648,27859,27084,27133,1441,1479,1406,1097,2031,0,0
120000,female,undergraduate,single,40,32130,3610,3790,18508,20737,-28,3613,3818,18564,20988,0,0,0
20000,male,diploma,single,35,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0
420000,female,undergraduate,married,57,666,2629,4352,1440,1486,2290,2629,4360,2064,1486,2290,1290,0
60000,female,undergraduate,single,51,38788,18251,19289,19033,20793,23530,2065,2000,2000,2000,3000,3000,0
80000,male,undergraduate,single,25,45113,26796,19100,14600,9000,2000,1456,1200,0,0,2000,5500,0
310000,female,undergraduate,married,33,73095,72437,71851,71120,70463,69876,2573,2594,2483,2458,2516,2461,0
180000,male,undergraduate,married,49,26660,660,660,660,36906,1470,660,660,660,36906,1320,0,0
280000,male,undergraduate,single,28,1799,1768,1848,-8,1601,-3,1782,1857,0,1609,3,1077,0
460000,male,gradaute,married,51,1637,-196,4594,1517,1517,1306,0,4790,1517,0,1306,0,0
20000,male,undergraduate,single,28,10926,12899,18394,16806,36070,19257,2500,9000,0,2000,2000,1500,0
50000,female,undergraduate,married,37,7465,2790,1323,156,-177,2406,2790,1323,156,2,2583,1581,0
50000,female,undergraduate,married,56,50586,46993,33136,34475,19666,19128,2000,2000,2000,1000,1259,1000,0
110000,male,gradaute,married,50,36802,38210,40259,41585,42913,44197,2000,3000,2000,2000,2000,2000,0
50000,male,undergraduate,single,25,21679,18566,19918,19584,18508,20047,0,2000,1500,1000,2000,676,1
320000,female,undergraduate,married,30,1031,1886,2913,-27,-27,5399,1895,2927,0,0,5426,3700,0
70000,male,undergraduate,single,47,64586,62983,64885,68164,66948,71122,0,2950,4965,0,5289,0,0
330000,male,other,married,33,26586,23818,24164,25042,25665,24059,1700,1522,1400,1000,820,770,0
230000,female,undergraduate,married,34,205530,380,380,2350,103030,380,380,380,2350,103030,380,1570,0
50000,female,undergraduate,married,38,51400,0,0,0,0,0,0,0,0,0,0,0,1
80000,female,diploma,married,47,390,780,390,390,390,390,780,390,390,390,390,2379,1
20000,male,undergraduate,single,24,14068,16706,18342,17755,17967,17538,3200,2200,0,800,0,1401,0
500000,male,gradaute,single,34,324503,324262,323101,296962,84615,267596,15633,19725,13091,5066,195829,20225,0
610000,female,diploma,married,50,10579,11299,7380,3755,20515,11497,11299,9710,3769,20515,0,1070,0
150000,female,undergraduate,married,40,32117,3502,2056,7756,4993,918,3505,2056,7756,0,918,22200,0
270000,female,diploma,married,30,3842,3934,0,0,3353,764,3934,0,0,3353,764,35532,0
240000,female,undergraduate,married,32,4101,7101,5500,5500,5500,5463,8500,5500,5500,5500,5463,5500,0
210000,female,gradaute,married,33,199851,190551,192717,195700,150525,137565,7000,7791,7000,5254,5400,5380,1
20000,female,undergraduate,married,37,19969,19568,19189,13708,11467,10614,1400,2000,1500,1000,1000,2000,0
230000,male,gradaute,married,41,0,1482,2140,2360,2620,0,1482,2140,2560,2620,0,0,1
140000,female,undergraduate,single,29,20110,17102,18862,19996,21214,21085,3000,3000,3000,3500,2000,2000,0
170000,female,gradaute,single,27,169057,170609,164777,166227,166199,169533,7500,0,7400,5978,6251,5872,0
90000,male,undergraduate,married,41,3014,-1750,76674,77974,80064,81747,1757,79786,2836,3657,2972,6228,0
230000,female,undergraduate,single,42,64489,58611,54463,53008,52835,40015,3100,5000,5000,10000,3000,5000,0
50000,male,undergraduate,single,52,45840,47595,28491,3642,12291,16674,8000,8080,15012,10000,8000,2000,0
250000,male,gradaute,married,58,1635,2491,-60,600,600,0,1025,0,660,0,0,0,0
50000,male,diploma,married,48,10420,8451,9641,9468,9294,9263,1310,1500,500,500,500,200,0
70000,female,diploma,other,58,70012,67714,68412,69016,69701,70898,2418,2500,2456,2500,3000,2533,0
200000,male,gradaute,married,38,3048,0,100000,0,0,0,0,100000,0,0,0,0,0
180000,female,undergraduate,single,35,168090,150482,154063,158494,161855,171055,5500,6001,7000,6000,12000,7500,0
150000,female,diploma,married,33,147350,154848,151591,151549,146417,137835,11150,0,4845,8046,9200,5100,0
130000,male,gradaute,single,29,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,male,undergraduate,married,37,20334,18555,3455,4359,4448,4704,0,1096,1000,89,256,0,0
130000,female,undergraduate,married,32,51559,50465,51531,52076,55432,56571,0,2500,2000,4200,2200,0,1
240000,female,gradaute,married,33,95835,90385,85011,77329,50673,48723,4060,3181,3000,1500,3042,1377,0
280000,male,gradaute,single,31,0,3405,2973,0,962,3481,3405,0,0,962,3481,9,0
260000,female,undergraduate,married,41,2699,3543,500,3540,2957,917,3543,505,3540,2957,917,0,0
120000,female,gradaute,single,44,27500,28565,29003,28241,28933,30956,1800,1200,0,1300,2500,0,0
50000,female,undergraduate,single,22,51798,50497,30935,14010,19110,19500,0,1663,1544,5500,390,0,0
80000,female,undergraduate,married,32,199,199,199,199,0,22109,199,199,199,0,22109,45352,1
60000,male,undergraduate,married,36,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,1
30000,male,undergraduate,married,53,18112,18456,19004,19030,24541,26305,1329,1267,683,8000,2731,0,0
450000,male,gradaute,married,61,156875,154853,152936,150996,149094,147297,11000,11000,11000,11000,11000,11000,1
150000,female,undergraduate,married,51,146018,147598,148393,149709,107862,108623,7000,7600,6000,4000,4100,4300,0
260000,male,gradaute,married,59,1929,-627,4134,792,1309,2557,627,7388,792,1312,2564,804,0
220000,female,gradaute,married,45,142389,143557,142698,145875,143254,145368,6200,7300,7510,5000,5000,5200,0
230000,female,undergraduate,married,28,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,female,undergraduate,single,23,18168,17593,19492,18884,21410,21841,0,2500,0,3000,930,0,1
80000,female,diploma,married,40,16413,12171,11554,7830,4305,5427,2160,1500,1218,311,1351,1000,1
110000,male,undergraduate,single,22,99209,54218,40110,41362,41296,41225,1766,2000,2000,2000,2000,2000,1
210000,female,gradaute,single,31,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,female,diploma,single,28,77450,78100,76204,66876,66182,67199,3500,2600,2400,2500,2700,2300,0
20000,male,undergraduate,single,27,2003,2948,3372,0,0,0,1086,1000,0,0,0,0,0
50000,female,diploma,single,40,5538,6563,7422,8292,8465,8650,1271,1130,1000,307,325,436,0
50000,female,diploma,married,46,13406,15175,16227,17746,7496,7877,2000,1600,2100,1930,500,500,0
200000,female,undergraduate,married,50,0,0,1350,0,1265,0,0,1350,0,1265,0,0,1
100000,female,diploma,married,30,46809,47121,45239,44712,43654,44678,2000,0,1900,1600,3200,0,0
10000,male,gradaute,single,22,2946,0,390,390,390,0,0,390,390,390,0,780,1
100000,female,undergraduate,single,31,4576,1872,2511,3333,2765,900,1872,2517,3339,2765,900,2575,1
50000,female,diploma,married,31,50612,43616,43339,29735,30360,29697,1879,1863,1042,1081,1081,1072,0
360000,male,diploma,married,31,0,392,827,136198,138722,141629,392,827,137101,5000,5119,5376,0
140000,male,gradaute,single,29,142044,142087,255846,140057,100177,100873,6100,5528,4500,3500,4000,4000,1
60000,female,diploma,single,28,396,43902,44802,42984,38495,39038,87804,2000,1567,1320,1500,2000,0
200000,female,undergraduate,single,23,964,-36,1000,0,0,43527,0,1036,0,0,54677,872,0
50000,male,undergraduate,married,62,51350,50350,49289,49058,47512,48930,50908,1800,1800,1800,2200,1774,0
80000,female,diploma,married,37,47751,-215,855086,632,632,124542,215,1024516,632,632,124542,14770,0
30000,male,undergraduate,single,26,33195,32705,32406,32167,31728,31061,1600,1500,1500,1300,1261,1003,0
100000,female,undergraduate,single,35,100207,94080,75428,76450,77503,64119,4026,3100,3050,3000,2300,2700,0
500000,male,gradaute,married,38,75433,26358,7860,2983,8767,4691,27486,7860,3047,8831,4734,11484,0
30000,female,diploma,married,23,26117,27028,27510,27817,28130,27141,1737,1609,1306,1455,857,1087,0
300000,male,gradaute,single,29,0,0,150,3550,0,0,0,150,3550,0,0,0,0
60000,male,undergraduate,single,26,59487,59199,59326,58938,30101,29735,2113,2500,3000,2500,1500,1100,0
20000,male,undergraduate,married,40,10288,9276,5622,19263,18433,26132,3010,2010,15000,4000,2000,2000,0
180000,female,gradaute,married,44,97925,98817,98495,96309,98484,100319,4303,4200,3500,3700,3600,3800,0
170000,female,gradaute,single,26,108426,109889,84897,82608,84388,86096,3600,3111,3000,3100,3101,3306,0
200000,female,diploma,married,42,1554,1645,1408,1800,819,886,1345,1108,669,0,886,2415,0
50000,female,gradaute,single,28,390,390,390,39685,40109,41303,390,780,39685,1337,5000,4696,1
20000,male,undergraduate,other,47,390,780,390,0,780,0,780,0,0,780,0,0,1
320000,female,undergraduate,married,35,4050,4914,6630,6393,9721,10584,1073,1789,0,3425,1000,3425,0
70000,female,undergraduate,single,26,70805,70087,62750,53600,45215,46486,2600,2231,1800,1700,2000,2000,0
80000,male,undergraduate,single,29,75234,76417,76916,51070,52727,54847,3007,5090,2001,3000,3000,3000,0
20000,male,undergraduate,single,30,19977,21359,20581,19860,19690,1735,2000,0,0,0,500,0,1
200000,female,gradaute,single,28,184602,187145,190983,188714,196262,198059,7000,7000,9000,10700,10600,0,0
50000,male,gradaute,single,30,7690,8805,9502,10189,10869,11533,1400,1000,1000,1000,1000,1000,0
50000,female,undergraduate,single,22,51417,48260,43889,35324,24146,22914,2054,1981,1344,810,828,824,0
50000,male,undergraduate,married,51,46094,47157,48669,42360,19840,19840,1831,2343,1611,200,0,0,0
370000,female,diploma,married,37,0,0,0,0,0,0,0,0,0,0,0,0,1
90000,female,undergraduate,single,23,87669,86653,57819,30895,14543,9329,3499,3000,3000,10000,2000,10000,0
80000,female,undergraduate,single,24,0,0,0,0,0,0,0,0,0,0,0,400,0
360000,male,undergraduate,single,28,0,0,0,0,0,0,0,0,0,0,0,0,1
230000,female,gradaute,single,33,10765,11107,11748,12269,12102,12414,1300,1300,1200,500,500,500,0
200000,male,gradaute,married,31,58008,72062,72912,80819,84186,83710,20000,20000,10000,20000,10000,10000,0
360000,male,gradaute,single,33,845,-4,831,899,1172,820,0,835,899,1172,820,670,0
130000,female,undergraduate,single,29,86584,88345,94597,92077,93272,96298,4100,8600,0,3500,7100,3600,0
200000,female,diploma,married,38,60473,151786,109495,13785,22173,10482,101796,29894,13943,21865,0,26218,0
120000,female,diploma,married,69,106775,108715,100937,102939,105307,106617,3810,3700,3658,4000,4515,3500,0
60000,male,gradaute,single,29,31235,31462,31499,16773,11568,9727,6050,6037,5084,6000,4000,3832,0
50000,male,diploma,married,41,54090,52955,51847,50307,27707,28479,0,0,0,0,974,31100,1
60000,female,gradaute,single,34,55447,48270,41087,25518,26276,27012,2178,1511,1200,1300,1300,1252,1
110000,female,diploma,single,43,114614,111306,112173,93675,59095,60336,0,5000,3000,2100,2500,2100,1
450000,female,gradaute,single,39,242,0,2343,2313,8295,699,0,2343,2313,8295,1806,1274,0
130000,male,undergraduate,single,27,131406,125858,118536,34394,66701,58437,5000,3572,3153,69200,2500,10000,1
140000,female,undergraduate,single,27,127464,119346,89977,92381,83641,86316,6000,4000,4000,3000,4000,4000,0
240000,female,undergraduate,single,31,7414,2020,-9032,13756,0,3138,2020,1000,23724,0,3138,367,0
130000,male,undergraduate,married,45,390,390,390,390,390,0,390,390,390,390,0,780,1
580000,male,gradaute,single,31,2507,2174,6527,1818,2227,2666,2190,6558,1825,2236,2678,1707,0
50000,female,undergraduate,married,34,5745,4266,3047,3606,2390,1655,1023,1051,1000,50,10050,734,0
50000,male,diploma,married,36,21031,20411,23766,23114,22173,21521,0,4000,0,0,0,1250,1
500000,female,gradaute,single,32,253767,222365,207026,203513,202853,202404,10000,10000,7000,7000,6799,7000,0
100000,male,gradaute,married,44,48850,0,0,0,0,0,0,0,0,0,0,0,0
140000,male,gradaute,married,40,136785,137175,140773,133147,140350,136475,5051,12602,0,12000,0,5000,1
170000,female,gradaute,single,34,55623,49216,46239,36300,29350,28164,2253,1888,1200,3782,1160,976,0
160000,male,undergraduate,single,32,163695,153009,115096,76037,152837,156042,7000,5400,4082,163107,5668,5958,0
400000,female,undergraduate,single,36,69376,61204,50773,39676,30680,27761,2255,1421,1381,770,731,600,0
180000,male,undergraduate,single,25,4236,5230,6570,7192,6437,12499,2001,2000,1018,6154,12527,5016,0
350000,female,undergraduate,single,40,26774,22062,38491,4683,3797,6677,22181,38683,4706,3816,6708,20105,0
100000,female,gradaute,married,29,27304,28537,32498,0,0,21648,2000,4652,0,0,21648,9600,0
100000,male,diploma,married,40,77617,80324,86016,87715,85411,87870,4000,7000,4000,0,4000,4000,0
120000,male,diploma,single,26,88143,83432,78471,77711,79250,55860,6000,4100,3000,3000,2000,0,0
170000,male,undergraduate,married,40,4599,3409,3790,2578,2100,2400,3409,6530,2578,2100,2400,6665,0
210000,female,undergraduate,single,28,40236,29230,24717,26563,22812,13620,2200,1854,2700,0,0,0,0
20000,male,gradaute,single,24,4720,0,20200,20000,0,0,0,20200,0,0,0,0,0
20000,female,undergraduate,married,58,17895,13576,18286,-200,0,18486,13605,19352,0,200,18486,5656,0
200000,female,undergraduate,married,49,75853,78983,133236,6574,2924,-626,6065,70538,6634,10,0,0,0
50000,female,gradaute,single,24,52227,55264,52028,32140,32216,31482,5350,0,1085,2000,1226,2415,0
70000,female,diploma,single,24,8391,10242,11026,2342,2390,0,2000,1000,2342,48,0,0,0
100000,male,undergraduate,married,36,46202,47239,48258,49218,99677,51738,1784,1803,1763,1843,4654,2297,0
140000,female,gradaute,single,25,30077,2809,7541,10661,2214,6020,2809,7541,10661,2214,6020,0,0
80000,female,undergraduate,single,24,0,159,0,110,-390,1104,159,0,110,390,1884,0,1
350000,female,gradaute,married,45,291,291,291,291,291,291,291,291,291,291,291,291,0
200000,female,gradaute,single,29,11347,30478,7892,1961,1357,1357,25000,8082,2580,1357,0,0,0
150000,female,undergraduate,married,39,0,0,0,0,0,0,0,0,0,0,0,0,1
230000,male,undergraduate,single,30,101832,92396,84297,49681,46224,44800,5000,4000,2029,2000,2500,1300,0
30000,female,diploma,other,46,20143,19532,22194,21542,24022,25473,0,3000,0,3000,2000,0,0
160000,male,undergraduate,single,34,144953,112501,115108,104295,61950,0,6000,5950,5128,3500,0,0,0
50000,female,undergraduate,single,23,48570,48599,49124,48930,50316,62794,1773,2246,2000,3000,1725,6120,0
230000,male,gradaute,single,33,56754,57171,56150,57074,50670,50652,3000,2100,2300,2000,2000,2000,0
80000,female,undergraduate,single,34,0,7400,-600,-600,-600,-600,7400,0,0,0,0,0,0
90000,male,undergraduate,single,44,36835,35949,40567,41604,40637,41824,0,5539,2000,0,2000,3000,0
90000,male,undergraduate,married,37,9549,9257,11983,12065,11731,11809,0,3200,572,0,422,437,0
140000,female,undergraduate,single,27,16037,17066,21199,390,0,390,2000,5000,390,0,390,780,0
100000,female,diploma,married,35,390,390,0,780,0,0,390,0,780,0,0,0,0
100000,female,undergraduate,married,35,98845,95265,98571,99322,96661,95951,4600,8002,4003,2,4005,4000,1
20000,female,undergraduate,other,44,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
30000,male,undergraduate,married,58,2450,4765,3767,4151,3940,3697,4777,3770,4151,3940,3697,843,1
100000,female,undergraduate,single,28,1215,1042,1042,1004,1612,622,1042,1042,1004,1650,622,622,1
160000,female,undergraduate,married,41,24674,23583,22983,22983,0,0,2800,0,200,0,0,0,1
30000,female,undergraduate,single,25,14149,15171,14635,15318,14930,16562,1543,0,1226,0,1882,0,1
750000,female,diploma,married,40,16372,15344,3329,38488,9777,66692,15420,3691,38679,9825,67024,76641,0
470000,male,diploma,married,39,0,0,0,0,0,0,0,0,0,0,0,789,0
230000,male,gradaute,single,30,101874,97302,97383,97487,96588,95221,8000,5016,5000,5000,5000,5200,0
70000,female,undergraduate,married,48,20744,22093,23432,24217,19108,19649,2000,2000,1500,1000,1000,1000,0
60000,male,gradaute,married,34,37749,38785,39803,40837,41783,42689,1948,1966,2000,1600,1600,1600,0
200000,female,undergraduate,single,32,13467,4345,0,0,171,1557,4366,0,0,171,1386,6,0
50000,male,undergraduate,single,24,47530,46155,28650,19659,19802,19699,1537,1679,688,713,858,660,0
20000,male,gradaute,single,27,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0
30000,female,gradaute,single,29,2030,1533,3897,6978,4081,3686,1533,3897,4081,0,155,96,0
220000,male,gradaute,single,28,127021,132595,102667,108998,117186,121062,28500,5000,9604,10000,6000,14000,0
80000,male,gradaute,single,27,63132,61397,70223,53429,28689,24827,2378,10000,23000,5000,10000,6000,0
130000,female,diploma,single,40,98874,99363,101618,-32,-32,-32,5000,5000,3000,0,0,1000,0
70000,female,diploma,married,42,6489,9372,11179,8688,8295,10147,3000,2000,295,1000,2000,1000,0
500000,male,gradaute,married,43,14872,53132,74478,61069,37369,2581,53421,74559,1343,907,2592,42767,0
430000,female,undergraduate,married,42,38495,11935,32878,115683,84049,37210,11935,32887,115683,0,37210,29559,0
290000,male,gradaute,single,26,196780,198682,144672,146116,109672,60439,10144,7443,35215,5011,5079,3067,0
150000,female,undergraduate,married,32,3000,187000,193500,196000,200000,0,184000,6500,4000,4000,0,0,0
230000,female,undergraduate,married,34,2007,3220,6163,2765,2050,1197,3229,6191,2782,2055,1200,1710,0
440000,male,gradaute,single,31,37547,29349,23713,25427,21187,26486,20016,29748,25448,10015,14501,11501,0
